Src IP,Src Port,Dst IP,Dst Port,Flow Duration,Total Packets,Total Bytes,Packets per Second,Bytes per Second
192.168.1.15,61122,20.195.84.7,443,0.266030,4,275,15.03589820696913881893019584,1033.718001729128293801450964
192.168.1.15,61122,20.195.84.7,443,0.046509,2,135,43.00242963727450600958954181,2902.664000516029155647294072
192.168.1.15,61122,20.195.84.7,443,0.124399,2,139,16.07729965674965232839492279,1117.372326144100836823447134
192.168.1.15,61122,20.195.84.7,443,0.043535,2,135,45.94004823705064890318134834,3100.953256000918800964741013
192.168.1.15,61122,20.195.84.7,443,0.124566,2,136,16.05574554854454666602443684,1091.790697301029173289661705
192.168.1.15,61122,20.195.84.7,443,0.124351,2,139,16.08350556087204767151048242,1117.803636480607313169978529
192.168.1.15,61122,20.195.84.7,443,0.054147,2,135,36.93648770938371470256893272,2493.212920383400742423402959
192.168.1.15,61122,20.195.84.7,443,0.124646,2,139,16.04544068802849670266193861,1115.158127817980520835004733
192.168.1.15,61122,20.195.84.7,443,0.054190,2,135,36.90717844620778741465214984,2491.234545119025650489020114
192.168.1.15,61122,20.195.84.7,443,0.123912,2,136,16.14048679708179998708761056,1097.553102201562399121957518
192.168.1.15,61122,20.195.84.7,443,0.123462,2,139,16.19931638884839059791676791,1125.852489024963146555215370
192.168.1.15,61122,20.195.84.7,443,0.050657,2,135,39.48121681110211816728191563,2664.982134749392976291529305
192.168.1.15,61122,20.195.84.7,443,0.124337,2,139,16.08531651881579899788478088,1117.929498057698030352992271
192.168.1.15,61122,20.195.84.7,443,0.046255,2,135,43.23856880337260836666306345,2918.603394227651064749756783
192.168.1.15,61122,20.195.84.7,443,0.124526,2,136,16.06090294396350962851131491,1092.141400189518654738769414
142.251.168.188,5228,192.168.1.15,61497,0.065740,2,121,30.42287800425920292059628841,1840.584119257681776696075449
142.251.168.188,5228,192.168.1.15,61497,0.061582,2,121,32.47702250657659705758176090,1964.859861647884121983696535
142.251.168.188,5228,192.168.1.15,61497,0.064371,2,121,31.06989172142735082568237250,1879.728449146354724953783536
142.251.168.188,5228,192.168.1.15,61497,0.061526,2,121,32.50658258297305204303871534,1966.648246269869648603842278
142.251.168.188,5228,192.168.1.15,61497,0.063282,2,121,31.60456369899813533074175911,1912.076103789387187509876426
142.251.168.188,5228,192.168.1.15,61497,0.068019,2,121,29.40354900836530969287993061,1778.914715006101236419235802
192.168.1.15,59959,3.175.196.71,443,0.008405,2,121,237.9535990481856038072575848,14396.19274241522903033908388
192.168.1.15,59959,3.175.196.71,443,0.008579,5,309,582.8185103158876325912110969,36018.18393752185569413684579
192.168.1.15,51733,52.168.117.174,443,0.129512,2,121,15.44258447093705602569646056,934.2763604916918895546358639
192.168.1.15,51733,52.168.117.174,443,0.134196,2,121,14.90357387701570836686637456,901.6662195594503561954156607
192.168.1.15,51733,52.168.117.174,443,1,1,54,1.0,54.0
192.168.1.15,59210,35.186.224.33,443,0.051728,2,136,38.66377977111042375502629137,2629.137024435508815341787813
192.168.1.15,59210,35.186.224.33,443,0.055645,2,136,35.94213316560337856051756672,2444.065055261029742115194537
192.168.1.15,59210,35.186.224.33,443,0.046179,2,136,43.30972953073908053444206241,2945.061608090257476342060244
192.168.1.15,59210,35.186.224.33,443,0.048747,2,136,41.02816583584630849077891973,2789.915276837548977372966542
192.168.1.15,59210,35.186.224.33,443,0.046024,2,136,43.45558838866678254823570311,2954.980010429341213280027812
192.168.1.15,59210,35.186.224.33,443,0.047196,2,136,42.37647258242223917281125519,2881.600135604712263751165353
192.168.1.15,59210,35.186.224.33,443,0.046635,2,136,42.88624423716093063149994639,2916.264608126943282941996355
192.168.1.15,59210,35.186.224.33,443,0.048663,2,517,41.09898690997266917370486817,10624.08811622793498140270842
192.168.1.15,59210,35.186.224.33,443,0.047157,2,136,42.41151896855185868481879679,2883.983289861526390567678181
192.168.1.15,58620,35.186.224.26,443,0.055817,2,121,35.83137753730942186072343551,2167.798341007220022573767849
192.168.1.15,58620,35.186.224.26,443,0.047575,2,121,42.03888596952180767209668944,2543.352601156069364161849711
192.168.1.15,58620,35.186.224.26,443,0.047075,2,121,42.48539564524694636218799788,2570.366436537440254912373871
192.168.1.15,58620,35.186.224.26,443,0.047038,3,162,63.77822186317445469620306986,3444.023980611420553594965772
192.168.1.15,59888,52.4.44.47,443,0.926705,39,16176,42.08459002595216384933716771,17455.39303230262057504815448
192.168.1.15,59888,52.4.44.47,443,0.004610,6,1064,1301.518438177874186550976139,230802.6030368763557483731020
192.168.1.15,59888,52.4.44.47,443,0.139457,2,125,14.34133819026653377026610353,896.3336368916583606416314706
192.168.1.15,59888,52.4.44.47,443,0.148093,6,403,40.51508173917740879042223468,2721.262990148082623756693429
150.171.28.11,443,192.168.1.15,63876,0.223451,22,5901,98.45558981611180974799844261,26408.47434113071769649721863
150.171.28.11,443,192.168.1.15,63876,0.009209,2,121,217.1788467803235964817026822,13139.32023020957758714301227
150.171.28.11,443,192.168.1.15,63876,0.015713,2,121,127.2831413479284668745624642,7700.630051549672245911029084
150.171.28.11,443,192.168.1.15,63876,1,1,54,1.0,54.0
192.168.1.15,57528,52.1.37.128,443,0.600068,51,36737,84.99036775832072365131951712,61221.39490857702793683382550
192.168.1.15,57528,52.1.37.128,443,0.141874,2,125,14.09701566178440024246866938,881.0634788615250151542918364
192.168.1.15,57528,52.1.37.128,443,0.136496,2,125,14.65244402766381432422928144,915.7777517289883952643300903
192.168.1.15,57528,52.1.37.128,443,0.134870,2,125,14.82909468376955586861422110,926.8184177355972417883888189
192.168.1.15,57528,52.1.37.128,443,0.139214,2,125,14.36637119829902165012139584,897.8981998936888531325872398
192.168.1.15,57528,52.1.37.128,443,0.154986,2,125,12.90439136438129895603473862,806.5244602738311847521711638
192.168.1.15,50973,35.174.234.151,443,0.603316,27,10783,44.75266692744763937969488626,17872.88916587658871967592439
192.168.1.15,50973,35.174.234.151,443,0.131606,2,125,15.19687552239259608224549033,949.8047201495372551403431454
192.168.1.15,50973,35.174.234.151,443,0.141081,7,471,49.61688675300004961688675300,3338.507665809003338507665809
192.168.1.15,51197,92.223.47.61,80,0.057450,7,1095,121.8450826805918189730200174,19060.05221932114882506527415
192.168.1.15,51197,92.223.47.61,80,0.009315,3,166,322.0611916264090177133655395,17820.71926999463231347289318
192.168.1.15,51281,20.50.88.244,443,0.431472,19,7748,44.03530240664515889791226314,17957.13279193087848110653762
192.168.1.15,60339,74.125.206.188,443,0.065112,2,121,30.71630421427693819879592087,1858.336404963754761027153213
192.168.1.15,60339,74.125.206.188,443,0.061639,2,121,32.44698973052775028796703386,1963.042878696928892422005548
192.168.1.15,60339,74.125.206.188,443,0.061236,2,121,32.66052648768698151414200797,1975.961852505062381605591482
